fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,class
11.366732097758149,1.5546821782175244,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,0
7.9,-2.453853237835833,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,0
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,,5,0
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,0
6.390739694567861,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,,5,0
7.6,-3.1035356686891973,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,0
7.167439242694994,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,0
4.5684347743869855,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,0
7.8,0.34168219948423556,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,,6,0
6.7,-1.3643291411872969,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,0
6.9,4.96139251974828,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,0
10.16677624481062,1.7804332879213303,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,0
4.486506541372766,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,0
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,0
4.843865987790357,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,,6,0
11.365049761816046,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,0
8.1,-1.7694441703616177,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,0
6.763863482325068,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,0
7.3,-0.36462131551674054,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,0
7.3,0.8490197459642985,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,0
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,,4,0
7.5,0.28599113155324923,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,,6,0
7.395211715255183,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,0
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,0
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,0
9.62429895420115,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,0
8.726795619332096,1.1052380988027948,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,0
6.4,0.605963633386924,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,0
6.749039451355051,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,0
6.3494562928736356,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,0
12.811195826731867,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,,6,0
6.6,-3.6719702454102396,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,0
8.6,-6.072713702511732,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,0
7.6,-0.6108271346759728,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,0
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,0
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,0
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,0
6.061140096971325,2.271478115295072,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,0
11.968048980849932,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,0
8.8,-0.6871071036907367,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,0
7.7,4.399692340215676,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,0
7.5,0.3793399021033039,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,0
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,,5,0
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,,5,0
7.2,4.7965881927559355,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,0
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,0
6.03339345208657,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,0
11.721291346964888,3.775710317792916,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,0
8.0,3.8588605955234008,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,,6,0
9.90267049707841,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,0
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,0
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,0
11.740555265450137,-2.9355349026210016,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,0
7.1781288785075645,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,,5,0
12.026906203836587,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,,5,0
14.339319552734322,0.4614220039196051,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,0
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,0
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,0
8.3,4.2933204624469425,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,0
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,,5,0
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,0
7.4,1.317034174274115,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,,5,0
6.523921062274429,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,0
6.404118201426367,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,0
5.3296600725595376,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,0
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,,6,0
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,0
8.2606912434447,2.053079714996904,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,0
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,0
13.034268396797472,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,0
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,0
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,0
4.687296421609387,-3.673661915346864,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,0
2.173643534447684,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,0
4.7,6.356369791824201,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,0
11.632702809243131,-1.5991232076962492,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,0
8.873645277665087,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,,5,0
13.961110747127572,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,0
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,0
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,,6,0
7.8,-5.48327542525059,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,0
6.74868408652244,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,0
8.1,-0.47837721347520046,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,,5,0
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,0
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,0
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,,5,0
6.578843411712708,-6.7124515545631995,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,0
6.017969168684587,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,,6,0
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,0
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,0
8.829903505943088,-2.6353754343735,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,,5,0
3.0777099081470887,8.275535499313337,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,0
10.1,-0.8301223325096594,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,0
9.854863669965024,-3.723361503939373,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,0
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,0
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,0
7.8,0.6358936596983527,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,0
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,0
7.0,-2.0034112350959252,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,0
7.3,3.6635575990217903,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,0
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,0
8.270422250477013,-1.9736343381581212,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,0
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,0
7.627336012602243,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,0
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,0
7.028907026201005,2.1422011304054767,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,0
5.415738037895701,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,0
10.183138736098282,-2.8511771106173773,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,,7,0
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,0
4.48673004288978,8.54208443437166,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,0
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,0
5.6,2.0108711600819427,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,0
8.135687736147728,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,0
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,0
14.623354184428372,0.30848260755259765,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,0
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,0
7.2,-0.4638747518938556,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,0
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,0
12.256564465932893,-1.1007999497480925,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,0
8.4,-1.537740439422553,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,,5,0
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,0
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,0
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,0
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,0
3.5846161719880403,-1.6951901785435588,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,0
4.189785818970091,5.714986551385854,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,0
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,0
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,0
9.464352221666012,-1.2578418731637155,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,0
7.3,-6.0582567199152635,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,,6,0
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,0
7.28915423395695,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,0
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,,5,0
2.901782845152736,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,0
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,0
8.255947854420473,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,0
7.1,-3.067903162639683,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,,5,0
7.1,3.4631738599974127,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,0
6.8,-0.15697216977401052,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,0
7.569949314651102,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,0
7.6,0.27775519959088707,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4,0
13.542976225811344,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,0
6.6403138921476605,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,0
7.3,4.099443354257278,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,,5,0
11.304010155979773,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,0
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,0
7.3,-1.7814997675169095,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,0
2.998734790610073,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,0
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5,0
4.8159721063104755,2.782253166392712,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4,0
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,0
10.164985879428471,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,0
7.4,-1.3836494493627773,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,0
10.551192341822123,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,0
4.027821821776824,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,0
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,0
7.5,2.247629910257001,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,0
7.0,-0.36840575230897576,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,0
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,0
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,0
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,5,0
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,,5,0
6.872232219451735,-0.11464752456707095,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,5,0
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,,6,0
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5,0
3.2552624794127665,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,5,0
7.156340521083562,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,,5,0
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,5,0
10.410768356872378,2.9504009725338323,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,9.5,5,0
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,,5,0
5.095124502591566,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6,0
6.052895882168592,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5,5,0
7.6,2.7940744230474985,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,,5,0
4.210613805111844,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,0
5.854924759125223,0.09371604378624565,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4,5,0
7.3,-0.8348710099843563,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,,5,0
11.5,5.097442753444962,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,6,0
10.674332748643016,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,13.0,7,0
7.118774675151399,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,4,0
9.6,0.32,0.47,1.4,0.056,9.0,24.0,0.99695,3.22,0.82,10.3,7,0
8.8,0.37,0.48,2.1,0.097,39.0,145.0,0.9975,3.04,1.03,9.3,5,0
6.8,0.5,0.11,1.5,0.075,16.0,49.0,0.99545,3.36,0.79,9.5,5,0
3.9930767000482055,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,5,0
6.055684150246025,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6,0
8.007717136500315,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,0
9.757520923579364,2.067992434493906,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,0
7.8,-0.6034254259736552,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,,5,0
11.881019217139361,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,5,0
11.0,0.3,0.58,2.1,0.054,7.0,19.0,0.998,3.31,0.88,10.5,7,0
9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,12.4,6,0
8.0,-1.2342530898692652,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,6,0
11.172552726840184,0.44,0.64,2.1,0.059,5.0,15.0,0.998,3.21,0.67,10.2,6,0
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,,5,0
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,6,0
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,5,0
14.372190528303618,0.625,0.16,2.0,0.101,13.0,49.0,0.9962,3.14,0.57,11.0,5,0
7.813956484511832,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,5,0
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,5,0
7.692063911425512,0.53,0.33,2.4,0.08,24.0,144.0,0.99655,3.3,0.6,9.5,5,0
9.722682475626371,0.34,0.37,2.0,0.082,24.0,58.0,0.9964,3.34,0.59,9.4,6,0
7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.9957,3.15,0.57,9.4,5,0
6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,5,0
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,6,0
0.38223725334179726,0.635,0.36,2.0,0.089,15.0,55.0,0.99745,3.31,0.57,,4,0
7.7,3.504692520826419,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,6,0
9.514817970960724,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,9.5,6,0
9.0,0.82,0.14,2.6,0.089,9.0,23.0,0.9984,3.39,0.63,9.8,5,0
7.7,0.776200258159478,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,6,0
6.753040535817146,0.029341014621741324,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,5,0
9.658116680545444,0.8249255266877813,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,12.2,7,0
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,6,0
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6,6,0
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,5,0
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,6,0
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0,6,0
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0,6,0
7.2,0.645,0.0,1.9,0.097,15.0,39.0,0.99675,3.37,0.58,9.2,6,0
10.094038182490852,1.6433906239109746,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,,6,0
4.798924943359597,0.8299325577076853,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,6,0
8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,5,0
12.0,3.991060600528983,0.56,2.1,0.093,6.0,24.0,0.99925,3.14,0.71,10.9,6,0
11.426415855882741,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,9.8,6,0
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,0
15.0,3.9880154286359604,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,0
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,6,0
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,9.5,5,0
8.2,0.6,0.17,2.3,0.072,11.0,73.0,0.9963,3.2,0.45,,5,0
6.913056423257014,0.53,0.06,1.7,0.074,9.0,39.0,0.99615,3.35,0.48,,6,0
7.3,2.2556643576053985,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,,6,0
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,,6,0
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6,0
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,5,0
4.9866403211118655,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,9.5,5,0
7.6913097526136065,4.724156971486882,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,6,0
8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,,5,0
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,,5,0
5.9916919330085445,0.7204903044146661,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,,5,0
12.315395942085573,0.41,0.76,1.8,0.611,8.0,45.0,0.9968,3.06,1.26,9.4,5,0
10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,,7,0
8.92186608547363,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,5,0
7.0,3.045993015013846,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,4,0
8.616976762658018,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,10.0,5,0
10.60194124856632,3.3833689566158247,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,,5,0
12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,10.9,5,0
15.078614854278136,0.26,0.52,1.8,0.071,6.0,10.0,0.9968,3.2,0.72,10.2,7,0
10.450815282891897,3.92711484004983,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,0.72,,4,0
